player_name,minute,X,Y,is_goal,shotType,xg,body_part,situation,match_id
Karol Świderski,61,19.0,52.7,0,block,0.061119440943003,right-foot,assisted,Yobsnbc#id:14151977
Filip Đuričić,53,19.9,23.3,0,block,0.018543405458331,right-foot,assisted,Yobsnbc#id:14151977
Karol Świderski,52,5.0,27.0,0,miss,0.022350300103426,left-foot,assisted,Yobsnbc#id:14151977
Adam Gnezda Čerin,44,23.8,34.8,0,miss,0.030976336449385,right-foot,assisted,Yobsnbc#id:14151977
Karol Świderski,43,12.0,57.0,0,block,0.030063247308135,head,throw-in-set-piece,Yobsnbc#id:14151977
Anastasios Bakasetas,40,23.7,43.0,0,block,0.028814962133765,left-foot,regular,Yobsnbc#id:14151977
Filip Đuričić,30,12.2,45.0,0,block,0.28098955750465,left-foot,assisted,Yobsnbc#id:14151977
Karol Świderski,29,12.9,32.3,0,miss,0.046295214444399,left-foot,assisted,Yobsnbc#id:14151977
Ahmed Touba,23,7.7,57.9,0,post,0.1004251614213,head,corner,Yobsnbc#id:14151977
Karol Świderski,23,25.3,41.1,0,block,0.06804408878088,left-foot,free-kick,Yobsnbc#id:14151977
Anastasios Bakasetas,16,20.7,53.8,0,miss,0.070481352508068,left-foot,regular,Yobsnbc#id:14151977
Adam Gnezda Čerin,13,5.7,56.4,0,post,0.22723236680031,head,regular,Yobsnbc#id:14151977
Davide Calabria,13,5.8,66.4,0,block,0.077845670282841,right-foot,assisted,Yobsnbc#id:14151977
Davide Calabria,8,24.7,49.7,0,miss,0.011357113718987,right-foot,corner,Yobsnbc#id:14151977
Adam Gnezda Čerin,6,11.0,39.3,0,miss,0.021687151864171,head,assisted,Yobsnbc#id:14151977
Filip Đuričić,1,7.6,45.6,1,goal,0.37529307603836,right-foot,corner,Yobsnbc#id:14151977
Davide Calabria,1,25.0,46.6,0,miss,0.021651539951563,left-foot,corner,Yobsnbc#id:14151977
Andreas Tetteh,90,9.5,45.7,0,save,0.21859614551067,left-foot,fast-break,YobszeY#id:14151961
Renato Sanches,84,6.6,49.3,0,miss,0.22669893503189,left-foot,corner,YobszeY#id:14151961
Erik Palmer-Brown,84,10.7,37.0,0,miss,0.054409116506577,left-foot,corner,YobszeY#id:14151961
Pavlos Pantelidis,79,7.4,56.0,1,goal,0.52147841453552,right-foot,fast-break,YobszeY#id:14151961
Renato Sanches,72,11.2,42.8,0,save,0.13025410473347,right-foot,set-piece,YobszeY#id:14151961
Anastasios Bakasetas,56,19.2,70.3,0,block,0.016350064426661,right-foot,regular,YobszeY#id:14151961
Georgios Kyriakopoulos,56,27.2,31.6,0,block,0.0075491312891245,left-foot,assisted,YobszeY#id:14151961
Karol Świderski,53,8.8,51.3,1,goal,0.78364306688309,right-foot,regular,YobszeY#id:14151961
Pavlos Pantelidis,45,12.8,73.0,0,block,0.017252881079912,right-foot,assisted,YobszeY#id:14151961
Andreas Tetteh,43,11.0,74.6,0,miss,0.02608129940927,right-foot,fast-break,YobszeY#id:14151961
Filip Đuričić,33,18.7,64.0,0,block,0.05847442522645,left-foot,throw-in-set-piece,YobszeY#id:14151961
Filip Đuričić,21,8.3,27.2,0,miss,0.049518864601851,left-foot,fast-break,YobszeY#id:14151961
Karol Świderski,15,11.5,50.0,1,goal,0.7884,left-foot,penalty,YobszeY#id:14151961
Andreas Tetteh,7,11.4,64.2,1,goal,0.17620630562305,right-foot,regular,YobszeY#id:14151961
Davide Calabria,2,22.5,63.6,0,block,0.0070012621581554,right-foot,set-piece,YobszeY#id:14151961
Renato Sanches,81,12.3,7.3,0,save,0.033590063452721,right-foot,free-kick,VobsYob#id:14151978
Cyriel Dessers,48,15.1,49.5,1,goal,0.20662128925323,right-foot,assisted,VobsYob#id:14151978
Cyriel Dessers,43,11.9,69.1,0,miss,0.025321723893285,right-foot,set-piece,VobsYob#id:14151978
Georgios Kyriakopoulos,28,27.9,27.0,0,block,0.012723079882562,left-foot,assisted,VobsYob#id:14151978
Erik Palmer-Brown,9,8.3,58.9,0,miss,0.051969710737467,head,set-piece,VobsYob#id:14151978
Manolis Siopis,86,25.9,25.3,0,miss,0.016542987897992,right-foot,assisted,YobsePc#id:14151962
Anastasios Bakasetas,67,22.5,55.7,0,block,0.024532482028008,left-foot,assisted,YobsePc#id:14151962
Karol Świderski,63,4.5,57.7,0,miss,0.31960609555244,left-foot,assisted,YobsePc#id:14151962
Anastasios Bakasetas,49,16.9,52.1,0,block,0.043393392115831,right-foot,assisted,YobsePc#id:14151962
Anastasios Bakasetas,36,5.4,48.1,0,miss,0.60306173563004,right-foot,assisted,YobsePc#id:14151962
Davide Calabria,33,23.2,54.6,0,block,0.033380277454853,left-foot,assisted,YobsePc#id:14151962
